MEMBER_ID,FFP_JOIN_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_LOYALTY_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,RECENT_FLIGHT_DATE,C.LAST_FLIGHT,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,AVG_DISCOUNT,POINTS_SUM,POINTS_NOTFLIGHT,POINTS_SUM_LOG,BP_SUM_log,SUM_YR_1_log,SUM_YR_2_log,SEG_KM_SUM_log,POINTS_SUM_log,AVG_INTERVAL_log,MAX_INTERVAL_log,EXCHANGE_COUNT_log,POINTS_NOTFLIGHT_log,AVG_DISCOUNT_PCT,FFP_JOIN_DATE_STATUS,FIRST_FLIGHT_DATE_STATUS,RECENT_FLIGHT_DATE_STATUS
54993,2006-11-02,2008-12-24,Male,6,.,beijing,CN,31,2014-03-31,210,505308,239560,234188,580717,2014-03-31,1,3,18,34,0.961639043,619760,50,13.337089198832299,11.962618494255167,11.50973744102895,11.543276653286297,12.1506089531609,12.271620155461939,1.5421652381059419,2.977301475242586,3.5553480614894135,3.9318256327243257,96.1639043,Available,Available,Available
28065,,,Male,6,Unknown,beijing,CN,42,2014-03-31,140,362480,171483,167434,293678,2014-03-25,7,5,17,29,1.25231444,415768,33,12.937885096552126,11.962618494255167,11.50973744102895,11.543276653286297,12.1506089531609,12.271620155461939,1.8236205712459357,2.977301475242586,3.4011973816621555,3.5263605246161616,125.231444,Unknown,Unknown,Available
55106,2007-02-01,2007-08-30,Male,6,.,beijing,CN,40,2014-03-31,135,351159,163618,164982,283712,2014-03-21,11,5,18,20,1.254675516,406361,26,12.914999666937636,11.962618494255167,11.50973744102895,11.543276653286297,12.1506089531609,12.271620155461939,1.8403126946948087,2.977301475242586,3.044522437723423,3.295836866004329,125.46755160000001,Available,Available,Available
21189,,2008-08-23,Male,5,Los Angeles,CA,US,64,2014-03-31,23,337314,116350,125500,281336,2013-12-26,97,27,73,11,1.090869565,372204,12,12.827200056737887,11.962618494255167,11.50973744102895,11.543276653286297,12.1506089531609,12.271620155461939,3.3625825454083915,4.304065093204169,2.4849066497880004,2.5649493574615367,109.0869565,Unknown,Available,Available
39546,2009-04-10,2009-04-15,Male,6,guiyang,guizhou,CN,48,2014-03-31,152,273844,124560,130702,309928,2014-03-27,5,4,47,27,0.970657895,338813,39,12.733206563220342,11.962618494255167,11.50973744102895,11.543276653286297,12.1506089531609,12.271620155461939,1.755800538806286,3.8712010109078907,3.332204510175204,3.6888794541139363,97.0657895,Available,Available,Available
56972,2008-02-10,2009-09-29,Male,6,guangzhou,guangdong,CN,64,2014-03-31,92,313338,112364,76946,294585,2014-01-13,79,7,52,10,0.967692483,343121,15,12.745841348038311,11.962618494255167,11.50973744102895,11.250872152152262,12.1506089531609,12.271620155461939,2.084921007449926,3.970291913552122,2.3978952727983707,2.772588722239781,96.7692483,Available,Available,Available
44924,,2006-03-29,Male,6,wulumuqishi,xinjiang,CN,46,2014-03-31,101,248864,120500,114469,287042,2014-03-31,1,7,28,20,0.965346535,298873,29,12.607777358874644,11.962618494255167,11.50973744102895,11.543276653286297,12.1506089531609,12.271620155461939,2.102913897864978,3.367295829986474,3.044522437723423,3.4011973816621555,96.5346535,Unknown,Available,Available
22631,2010-04-09,,Female,6,wenzhoushi,zhejiang,CN,50,2014-03-31,73,301864,82440,114971,287230,2014-03-29,3,10,45,7,0.962070222,351198,14,12.769108293358634,11.962618494255167,11.319838164964791,11.543276653286297,12.1506089531609,12.271620155461939,2.407945608551872,3.828641396489095,2.0794415416798357,2.70805020110221,96.2070222,Available,Unknown,Available
32197,2011-06-07,,Male,5,DRANCY,Unknown,FR,50,2014-03-31,56,262958,72596,87401,321489,2014-03-26,6,13,94,5,0.828478237,295158,7,12.59526947317361,11.962618494255167,11.192678877645047,11.378273444677003,12.1506089531609,12.271620155461939,2.6429458630315357,4.553876891600541,1.791759469228055,2.0794415416798357,82.8478237,Available,Unknown,Available
31645,2010-07-05,,Female,6,wenzhou,zhejiang,CN,43,2014-03-31,64,204855,85258,60267,375074,2014-03-17,15,11,73,13,0.708010153,251907,16,12.436819220470786,11.962618494255167,11.353448961420955,11.00655656192118,12.1506089531609,12.271620155461939,2.5123056237058448,4.304065093204169,2.639057329615259,2.833213344056216,70.8010153,Available,Unknown,Available
